Movie Name,Username,Review,Rating
Reviews ofAgak Laen2024,Anonymous,"The supernatural aspect is very low key. It's more about a hilarious friendship with each having unique economic challenges and the crazy things they would do to get by.The movie as also features some crazy / cringe looking product placements, which were pretty much straight up advertisements.",3.5
Reviews ofAgak Laen2024,Anonymous,it was ok but the ableist joke is such a let down,3
Reviews ofAgak Laen2024,Anonymous,sebagai orang penakut jujur scene di rumah hantu serem sih buat aku T____T suka banget sama ceritanya.. paling sedih di scene mamaknya bang oki😣,5
Reviews ofAgak Laen2024,Anonymous,mama a money making ghost behind you,3
Reviews ofAgak Laen2024,Anonymous,indonesians are so funny i wish they were real,5
Reviews ofAgak Laen2024,Anonymous,this could be us,3
Reviews ofAgak Laen2024,Anonymous,its so fani fani,4
Reviews ofAgak Laen2024,Anonymous,"film ini yaampun kocak banget, setiap scenes ada kali dapet aja punchline. Enggak bosen rewatch film ini berkali-kali, karena selain lucu alur ceritanya ringan dan gokil",5
Reviews ofAgak Laen2024,Anonymous,"TANPA PAKSAAN, NATURAL GOKILNYA!Film ini lucu gilaaaa, tapi gak maksa! Komedinya ngalir, natural banget, kayak dengerin cerita absurd dari temen sendiri. Chemistry para pemainnya pecah abis, bikin setiap momen terasa lepas dan gak dibuat-buat. Bener-bener tipe film yang bikin ketawa sampe perut sakit, terus tiba-tiba ada momen yang nyentuh juga! Salah satu film komedi lokal yang eksekusinya jujur, segar, dan gak berlebihan!",4
Reviews ofAgak Laen2024,Anonymous,Ini kocak banget,4
Reviews ofAgak Laen2024,Anonymous,Watched this movie twice at the theatre. Tbh it was hilarious but nothing really special. The ending was just fine. I'm lowkey disappointed.,2
Reviews ofAgak Laen2024,Anonymous,ok??,3
Reviews ofAgak Laen2024,Anonymous,"As a comedy genre film, Agak Laen succeeds in carrying out its function very well. This film succeeded in making the audience laugh from the beginning to the end of the film. Meanwhile, the horror elements in this film are also only used as a trigger to make the storyline more interesting. It also used as new material for comedic moments in the film which again succeeded in inviting laughter from the audience. This also makes some of the jokes feel like dark jokes which still feel funny. The chemistry of each cast is unbearably terrific.",4.5
Reviews ofAgak Laen2024,Anonymous,kocak banget yaampun 😭😭,5
Reviews ofAgak Laen2024,Anonymous,this is peak comedy lollll,4
Reviews ofAgak Laen2024,Anonymous,Again saw this with an ex situation-ship it’s okay,3
Reviews ofAgak Laen2024,Anonymous,by far the only local horor movie i like,4
Reviews ofAgak Laen2024,Anonymous,Di satu sisi ada cerita horror dengan hawa menyeramkan dan di satu sisi juga ada unsur komedi yang mengundang gelak tawa.On the one hand there is a horror story with a creepy touch and on the one hand there is also an element of comedy that invites laughter.,4
Reviews ofAgak Laen2024,Anonymous,"kind of good movies sih, buat comedy– YANG KESANNYA AGAK ADULT HAHA jorok anjir tapi ngerti sih ya, kayak "" oh gini jokes nya "" gitu. sisanya emang sebenarnya film gini tuh menurut gua ada moralnya, either it's ab friendship or even family ( MC ada sesuatu sama masalahnya ofc ) dan karakterbya cukup kompleks ya, maksudnya kayak latar belakangnya tuh dijelasin gituloh. jadi ga bikin monoton gitu, endingnya good end sih, gada yang gimana gimana. tapi kalau misalnya buat rewatch, vibesnya gakan sama gitu ( tergantung )",3.5
Reviews ofAgak Laen2024,Anonymous,"Banyak kali cameonya😭😭😭""Lu gagu?""""Aeugh aeugh aeugh""""Iya lagi..""Agak Laen akan terus bikin kita ngakak. Dengan mengangkat beberapa tema seperti persahabatan, keluarga, rasa bersalah, dan konsekuensi. Premis cerita yang disajikan cukup fresh dengan perpaduan genrenya yang cocok dan berhasil. Film ini terdapat sentuhan drama yang menambah layer ke ceritanya, walau kadang agak terganggu oleh penempatan atau timing lawakan yang kurang pas. Komedi di film ini gak sekedar komedi, tapi juga sebagai sindiran terhadap isu-isu sosial yang terjadi saat…",4.5
Reviews ofAgak Laen2024,Anonymous,"Temen²ku pada bilang ni film bagus ama lucu banget seribu per sepuluh lah katanya, tapi nyatanya kering gini filmnya, malah lebih bagus di bagian dramanya daripada komedinya",2.5
Reviews ofAgak Laen2024,Anonymous,jokesny sukaa,5
Reviews ofAgak Laen2024,Anonymous,Didn't work for me as the other Indonesian movies.I thought it was a horror comedy. But it was a dark comedy.,2.5
Reviews ofAgak Laen2024,Anonymous,hilarious!!,3.5
Reviews ofAgak Laen2024,Anonymous,"ngakak pol aslii!, visual ya juga cakep ouwhhh!",5
Reviews ofAgak Laen2024,Anonymous,nonton di bioskop dua kali dan di netflix 3 kali!! alias ini lucu bgt kacau haha,5
Reviews ofAgak Laen2024,Anonymous,"waktu awal-awal nonton lucu dan menghibur, tapi coba nonton kedua kalinya biasa aja :'(",3.5
Reviews ofAgak Laen2024,Anonymous,laughed out loud all the way. and cried a bit too,4
Reviews ofAgak Laen2024,Anonymous,"LMAO I'VE WATCHED THIS TWICE, worth it lah ya buat ditonton bareng keluarga/temen",5
Reviews ofAgak Laen2024,Anonymous,"The shamelessly product placement :buscemi:This is too fucking long!!I would have cut the melodrama parts ngl. They should have focused on the funny parts.And the jokes! The okama joke is too old and Obet's disability treated as never ending ""comedy"" is very tiring. This is 2025 ffs. We will never moved on from this kind of comedy, won't we? I am so embarrassed at myself for inviting Sav to watch this homophobic and ableist movie :buscemi:One star for the neon bright cinematography of night markt.It's very shitty that this was my 4000th movie on LB.",1
Reviews ofAgak Laen2024,Anonymous,i dont get the hype but marketing was genius,2.5
Reviews ofAgak Laen2024,Anonymous,"bapak naomi minta tamu kaya minta duit, gampang amat ngomongnya",4
Reviews ofAgak Laen2024,Anonymous,Masalah bikin rumah hantu aja jadi seribet ini ya Allah 😭,4
Reviews ofAgak Laen2024,Anonymous,memang agak laen WKWK,5
Reviews ofAgak Laen2024,Anonymous,"Appreciate the cinematography, that’s it.",2
Reviews ofAgak Laen2024,Anonymous,CEKIKIKAN product placementnye udah kek sinetron,3
Reviews ofAgak Laen2024,Anonymous,"premis ceritanya kita semua ngertilah, dibungkus dengan cerita 5 orang daki gunung.. bagus filmnya tpi ya udah bagus aja ngga lebih",3
Reviews ofAgak Laen2024,Anonymous,Oke lah lucu,3
Reviews ofAgak Laen2024,Anonymous,A fun comedy movie for a one-time watch. The emotional moments between Oki and his mother were touching.,3.5
Reviews ofAgak Laen2024,Anonymous,😭😭😭 gakuat nontonnya ngakak muluuu,5
Reviews ofAgak Laen2024,Anonymous,kocakkk,4
Reviews ofAgak Laen2024,Anonymous,"i was skeptical about this movie before i watched it because i thought ""is it THAT funny and fun? it's just a comedy movie"" it turned out to be fun lol",3.5
